brand,product_name,category,shade_name,price,finish,image_url,swatch_url
투크,새틴 도화밤,eye,12 소프티,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4023498358675621807.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4023498358675621807.jpg
투크,새틴 도화밤,eye,13 이노센트,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4477237394041781113.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4477237394041781113.jpg
투크,새틴 도화밤,eye,07 메모러블,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3281115536525000214.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3281115536525000214.jpg
투크,새틴 도화밤,eye,01 스트로베리,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4536067353532831449.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4536067353532831449.jpg
투크,새틴 도화밤,eye,02 복숭아,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3810258374408144507.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3810258374408144507.jpg
투크,새틴 도화밤,eye,03 벚꽃,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6483325022697442634.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6483325022697442634.jpg
투크,새틴 도화밤,eye,04 실루엣,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3767569278309228025.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3767569278309228025.jpg
투크,새틴 도화밤,eye,05 타로밀크,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6616463937028046585.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6616463937028046585.jpg
투크,새틴 도화밤,eye,06 로즈니,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3197607608833392878.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3197607608833392878.jpg
투크,새틴 도화밤,eye,08 투투,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4015707106838897384.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4015707106838897384.jpg
투크,새틴 도화밤,eye,09 모먼트 살몬,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2705099083224077201.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2705099083224077201.jpg
투크,새틴 도화밤,eye,10 피크,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/8564852918265855976.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/8564852918265855976.jpg
투크,새틴 도화밤,eye,11 데이즈,"15,000원",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/4841452632133558016.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/4841452632133558016.jpg
