Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
1.jpg,lips,136.80,155.25,143.71,178,109,103,#b26d67,밝은 빨강
1.jpg,cheeks,171.88,143.01,143.36,199,153,137,#c79989,밝은 중성
1.jpg,eyeshadow,152.73,143.59,141.63,177,134,121,#b18679,밝은 중성
10.jpg,lips,149.63,159.77,147.29,200,118,109,#c8766d,밝은 빨강
10.jpg,cheeks,190.21,142.94,143.27,219,174,156,#dbae9c,매우 밝은 중성
10.jpg,eyeshadow,147.02,143.63,142.16,172,128,115,#ac8073,밝은 중성
11.jpg,lips,156.54,154.00,137.02,196,130,133,#c48285,밝은 중성
11.jpg,cheeks,203.37,139.10,133.55,222,190,188,#debebc,매우 밝은 무채색
11.jpg,eyeshadow,175.43,139.28,134.66,192,160,157,#c0a09d,밝은 무채색
12.jpg,lips,150.39,161.55,151.35,205,117,103,#cd7567,밝은 빨강
12.jpg,cheeks,195.05,139.68,141.56,218,181,165,#dab5a5,매우 밝은 무채색
12.jpg,eyeshadow,171.03,142.69,144.94,198,154,135,#c69a87,밝은 중성
13.jpg,lips,154.77,159.62,136.88,201,124,133,#c97c85,밝은 빨강
13.jpg,cheeks,207.61,137.38,134.56,223,196,191,#dfc4bf,매우 밝은 무채색
13.jpg,eyeshadow,177.83,141.09,132.66,196,161,163,#c4a1a3,밝은 무채색
14.jpg,lips,162.86,157.54,138.82,208,134,137,#d08689,밝은 빨강
14.jpg,cheeks,204.93,139.36,137.15,226,191,182,#e2bfb6,매우 밝은 무채색
14.jpg,eyeshadow,191.03,139.43,137.29,211,177,168,#d3b1a8,매우 밝은 무채색
15.jpg,lips,139.82,158.49,140.46,185,110,111,#b96e6f,밝은 빨강
15.jpg,cheeks,197.29,137.53,140.44,216,184,169,#d8b8a9,매우 밝은 무채색
15.jpg,eyeshadow,164.23,134.98,137.18,173,152,140,#ad988c,밝은 무채색
16.jpg,lips,115.87,158.68,151.91,162,85,70,#a25546,중간 빨강
16.jpg,cheeks,181.50,139.80,146.06,205,166,142,#cda68e,매우 밝은 중성
16.jpg,eyeshadow,148.25,142.40,145.64,173,130,111,#ad826f,밝은 중성
17.jpg,lips,146.13,167.79,148.59,208,108,105,#d06c69,밝은 빨강
17.jpg,cheeks,185.21,141.16,139.23,209,169,158,#d1a99e,매우 밝은 무채색
17.jpg,eyeshadow,173.23,143.66,141.15,200,155,143,#c89b8f,밝은 중성
18.jpg,lips,133.09,156.10,145.38,177,105,97,#b16961,밝은 빨강
18.jpg,cheeks,199.69,138.68,148.29,225,185,156,#e1b99c,매우 밝은 중성
18.jpg,eyeshadow,158.10,139.10,145.85,179,142,120,#b38e78,밝은 중성
19.jpg,lips,193.28,146.16,135.72,224,175,174,#e0afae,매우 밝은 중성
