brand,product_name,color_name,price,personal_color,color_detail,texture_tag,pros_summary,cons_summary,key_ingredients,Unnamed: 10,product_id
3CE,무드레시피 페이스 블러쉬,누드 피치,19000,#봄웜톤,은은한 복숭아 피치 컬러,#보송 #실키,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_3CE_누드_피치_1763391225009
3CE,무드레시피 페이스 블러쉬,모노 핑크,19000,#여름쿨톤라이트,은은한 핑크 컬러,#보송 #실키,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,비타민E,,cheek_3CE_모노_핑크_1763391225010
3CE,무드레시피 페이스 블러쉬,시티 모브,19000,#여름쿨톤뮤트,은은한 핑크 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,비타민E,,cheek_3CE_시티_모브_1763391225011
3CE,무드레시피 페이스 블러쉬,카인다 샤이,19000,#겨울쿨톤,은은한 핑크 컬러,#보송 #실키,붉은기 과하지 않아 자연스럽게 어울려요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_3CE_카인다_샤이_1763391225012
3CE,무드레시피 페이스 블러쉬,핑크 필터,19000,#여름쿨톤라이트,은은한 핑크 컬러,#보송 #실키,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,비타민E,,cheek_3CE_핑크_필터_1763391225013
3CE,무드레시피 페이스 블러쉬,피그 다이브,19000,#봄웜톤,은은한 핑크 컬러,#보송 #실키,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_3CE_피그_다이브_1763391225014
3CE,무드레시피 페이스 블러쉬,풀스 인 러브,19000,#여름쿨톤뮤트,은은한 핑크 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,비타민E,,cheek_3CE_풀스_인_러브_1763391225015
3CE,무드레시피 페이스 블러쉬,로즈 베이지,19000,#가을웜톤뮤트,은은한 장미빛 로즈 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,비타민E,,cheek_3CE_로즈_베이지_1763391225016
3CE,무드레시피 페이스 블러쉬,렛 미 스테이,19000,#봄웜톤,은은한 핑크 컬러,#보송 #실키,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_3CE_렛_미_스테이_1763391225017
Naming,플러피 파우더 블러쉬,니제,15000,#겨울쿨톤,은은한 핑크 컬러,#보송 #실키,붉은기 과하지 않아 자연스럽게 어울려요,피부가 건조하면 살짝 들뜰 수 있어요,옥수수전분,,cheek_Naming_니제_1763391225018
