brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
투크,새틴 도화밤,eye,12 소프티,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4023498358675621807.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4023498358675621807.jpg,205.37,142.22,134.37
투크,새틴 도화밤,eye,13 이노센트,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4477237394041781113.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4477237394041781113.jpg,205.26,140.28,125.6
투크,새틴 도화밤,eye,07 메모러블,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3281115536525000214.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3281115536525000214.jpg,211.17,137.96,126.39
투크,새틴 도화밤,eye,01 스트로베리,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4536067353532831449.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4536067353532831449.jpg,173.77,156.06,135.21
투크,새틴 도화밤,eye,02 복숭아,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3810258374408144507.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3810258374408144507.jpg,198.29,144.02,131.17
투크,새틴 도화밤,eye,03 벚꽃,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6483325022697442634.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6483325022697442634.jpg,203.67,140.48,128.33
투크,새틴 도화밤,eye,04 실루엣,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3767569278309228025.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3767569278309228025.jpg,195.19,144.0,126.62
투크,새틴 도화밤,eye,05 타로밀크,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6616463937028046585.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6616463937028046585.jpg,202.7,136.8,126.7
투크,새틴 도화밤,eye,06 로즈니,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3197607608833392878.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3197607608833392878.jpg,195.22,143.17,132.49
투크,새틴 도화밤,eye,08 투투,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4015707106838897384.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4015707106838897384.jpg,199.38,142.0,130.51
투크,새틴 도화밤,eye,09 모먼트 살몬,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2705099083224077201.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2705099083224077201.jpg,196.83,140.53,134.02
투크,새틴 도화밤,eye,10 피크,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/8564852918265855976.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/8564852918265855976.jpg,184.34,149.89,132.08
투크,새틴 도화밤,eye,11 데이즈,"15,000원",새틴,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/4841452632133558016.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/7/4841452632133558016.jpg,188.4,144.46,136.88
홀리카홀리카,마이페이브 피스 아이섀도우,eye,시나몬 스파이스,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4279023525351780168.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4279023525351780168.jpg,137.79,148.19,143.37
홀리카홀리카,마이페이브 피스 아이섀도우,eye,오버 더 피치,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/1021835892148074415.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/1021835892148074415.jpg,190.44,159.47,143.81
홀리카홀리카,마이페이브 피스 아이섀도우,eye,모브 시즈닝,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/3172492504213177996.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/3172492504213177996.jpg,125.27,150.21,131.22
홀리카홀리카,마이페이브 피스 아이섀도우,eye,오버 더 핑크,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/9073855144010479062.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/9073855144010479062.jpg,188.18,160.2,128.39
홀리카홀리카,마이페이브 피스 아이섀도우,eye,수티 위스테리아,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/5791319082865740219.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/5791319082865740219.jpg,130.02,146.09,134.6
홀리카홀리카,마이페이브 피스 아이섀도우,eye,돌체 피치,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2969822680077264757.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/2969822680077264757.jpg,173.8,150.61,144.88
홀리카홀리카,마이페이브 피스 아이섀도우,eye,환타스틱,"6,400원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8850218180535044178.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8850218180535044178.jpg,191.86,144.94,138.97
홀리카홀리카,마이페이브 피스 아이섀도우,eye,얼리 샤인,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4389460665715767106.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4389460665715767106.jpg,224.82,132.17,130.57
홀리카홀리카,마이페이브 피스 아이섀도우,eye,슈가 클라우드,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/7047100269408951125.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/7047100269408951125.jpg,192.6,153.46,141.01
홀리카홀리카,마이페이브 피스 아이섀도우,eye,쥬시 모닝,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8226015683050901979.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8226015683050901979.jpg,182.86,153.64,153.05
