Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
1.jpg,lips,139.35,155.69,123.49,172,113,140,#ac718c,밝은 빨강
1.jpg,cheeks,177.23,135.88,127.27,182,165,171,#b6a5ab,밝은 무채색
1.jpg,eyeshadow,147.18,134.72,126.82,148,135,142,#94878e,밝은 무채색
2.jpg,lips,120.30,151.13,137.12,153,96,97,#996061,밝은 중성
2.jpg,cheeks,182.13,133.37,136.44,190,171,160,#beaba0,매우 밝은 무채색
2.jpg,eyeshadow,132.49,132.28,138.93,137,121,107,#89796b,밝은 무채색
3.jpg,lips,135.15,162.21,138.25,185,102,111,#b9666f,밝은 빨강
3.jpg,cheeks,185.46,142.48,141.14,212,168,155,#d4a89b,매우 밝은 무채색
3.jpg,eyeshadow,104.38,138.12,136.00,116,90,85,#745a55,중간 무채색
4.jpg,lips,133.79,166.76,144.35,190,96,99,#be6063,밝은 빨강
4.jpg,cheeks,192.83,140.18,140.85,216,177,164,#d8b1a4,매우 밝은 무채색
4.jpg,eyeshadow,157.38,139.07,141.04,176,141,126,#b08d7e,밝은 무채색
5.jpg,lips,140.81,155.06,137.72,180,113,117,#b47175,밝은 빨강
5.jpg,cheeks,183.31,142.58,141.02,210,166,153,#d2a699,매우 밝은 무채색
5.jpg,eyeshadow,134.43,137.98,140.35,148,119,105,#947769,밝은 무채색
6.jpg,lips,119.67,156.76,142.13,160,91,88,#a05b58,중간 빨강
6.jpg,cheeks,168.50,139.89,143.82,189,152,134,#bd9886,밝은 중성
6.jpg,eyeshadow,128.25,138.87,140.60,143,113,100,#8f7164,밝은 무채색
7.jpg,lips,142.72,161.45,137.62,191,110,119,#bf6e77,밝은 빨강
7.jpg,cheeks,195.87,137.87,136.79,211,183,174,#d3b7ae,매우 밝은 무채색
7.jpg,eyeshadow,165.53,139.22,135.49,181,150,145,#b59691,밝은 무채색
8.jpg,lips,129.09,156.03,137.33,169,101,106,#a9656a,밝은 빨강
8.jpg,cheeks,176.19,137.10,136.51,191,162,154,#bfa29a,밝은 무채색
8.jpg,eyeshadow,103.13,137.98,137.98,115,90,81,#735a51,중간 무채색
9.jpg,lips,126.92,163.78,143.16,178,92,94,#b25c5e,밝은 빨강
9.jpg,cheeks,200.43,139.09,143.59,225,186,167,#e1baa7,매우 밝은 중성
9.jpg,eyeshadow,144.21,138.66,138.95,159,129,119,#9f8177,밝은 무채색
10.jpg,lips,141.03,168.62,138.84,200,103,117,#c86775,밝은 빨강
10.jpg,cheeks,190.11,139.03,136.83,209,176,169,#d1b0a9,매우 밝은 무채색
10.jpg,eyeshadow,158.07,139.21,136.58,174,143,136,#ae8f88,밝은 무채색
11.jpg,lips,153.85,154.86,143.32,196,127,119,#c47f77,밝은 중성
11.jpg,cheeks,191.80,142.54,144.05,220,175,156,#dcaf9c,매우 밝은 중성
11.jpg,eyeshadow,165.53,141.68,143.54,189,148,131,#bd9483,밝은 중성
12.jpg,lips,130.14,175.29,147.92,200,83,92,#c8535c,밝은 빨강
12.jpg,cheeks,178.34,148.14,144.15,215,157,143,#d79d8f,밝은 중성
12.jpg,eyeshadow,127.97,148.53,142.14,158,105,96,#9e6960,밝은 중성
13.jpg,lips,131.98,155.48,130.79,167,105,120,#a76978,밝은 빨강
13.jpg,cheeks,172.98,138.24,131.73,185,158,159,#b99e9f,밝은 무채색
13.jpg,eyeshadow,153.28,138.81,132.17,165,138,138,#a58a8a,밝은 무채색
14.jpg,lips,146.52,162.41,141.52,199,113,116,#c77174,밝은 빨강
14.jpg,cheeks,189.70,139.98,135.49,208,175,170,#d0afaa,매우 밝은 무채색
14.jpg,eyeshadow,159.67,140.74,136.82,177,143,137,#b18f89,밝은 무채색
15.jpg,lips,152.31,165.47,135.72,207,117,133,#cf7585,밝은 빨강
15.jpg,cheeks,196.90,138.58,134.35,213,183,179,#d5b7b3,매우 밝은 무채색
15.jpg,eyeshadow,162.90,138.68,135.49,176,147,142,#b0938e,밝은 무채색
