brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,03베어그레이프,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2882272292801455773.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2882272292801455773.jpg?qt=80,153.48,154.89,140.26
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,29조선무화과,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/5393001537175336934.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/5393001537175336934.jpg?qt=80,164.59,159.42,145.26
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,36키튼리치,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/5231416598541306642.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/5231416598541306642.jpg?qt=80,159.1,152.46,137.78
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,37 구아바데이지,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7811387496179214122.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7811387496179214122.jpg?qt=80,154.37,156.52,143.4
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,38 클라우디베리,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/8430109212102032961.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/8430109212102032961.jpg?qt=80,163.35,140.25,133.87
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,31 탠드코코,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/2448662793072546621.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/2448662793072546621.jpg?qt=80,157.24,146.47,143.76
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,32 태니 구아바,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/3826211627686065234.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/3826211627686065234.jpg?qt=80,154.85,150.58,141.89
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,33 알로하 쥬시,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/4589236378951510391.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/9/4589236378951510391.jpg?qt=80,156.68,160.12,146.49
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,23 피치 피치 미,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6850055086780142867.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/6850055086780142867.jpg?qt=80,155.11,158.54,141.15
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,01 포멜로 스킨,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/4316731574394208380.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/4316731574394208380.jpg?qt=80,157.03,151.92,145.09
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,02 누카다미아,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/2015244051248127130.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/2015244051248127130.jpg?qt=80,153.28,152.78,144.73
롬앤,롬앤X조앤프렌즈 더 쥬시 래스팅 틴트,lip,06 필링 앵두,"13,000원",글로시,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/5464784048396929770.jpg?qt=80,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/5464784048396929770.jpg?qt=80,137.92,156.19,141.93
