brand,product_name,category,shade_name,price,finish,image_url,swatch_url,color_hex,lab_L,lab_a,lab_b
3CE,무드레시피 페이스 블러쉬,cheek,누드 피치,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/7252026405850348055.PNG,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/7252026405850348055.PNG,#e4b2a4,76.58,16.33,13.71
3CE,무드레시피 페이스 블러쉬,cheek,모노 핑크,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/3710968757376747268.PNG,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/3710968757376747268.PNG,#e7b3ac,77.33,18.07,10.58
3CE,무드레시피 페이스 블러쉬,cheek,시티 모브,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/6404039053345141915.PNG,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/6404039053345141915.PNG,#e5b4ab,77.42,16.52,11.62
3CE,무드레시피 페이스 블러쉬,cheek,카인다 샤이,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/10/4144539387956903476.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/10/4144539387956903476.jpg,#d0a9b1,72.87,15.56,1.45
3CE,무드레시피 페이스 블러쉬,cheek,핑크 필터,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/2163213897824680035.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/2163213897824680035.png,#f1c3bf,82.67,15.73,8.05
3CE,무드레시피 페이스 블러쉬,cheek,피그 다이브,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/7954595991379053591.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/7954595991379053591.jpg,#edb9a9,79.38,16.14,15.57
3CE,무드레시피 페이스 블러쉬,cheek,풀스 인 러브,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/4916423361361647987.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/4916423361361647987.png,#e6abb6,75.62,23.36,3.0
3CE,무드레시피 페이스 블러쉬,cheek,로즈 베이지,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/8521927513445814665.PNG,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/8521927513445814665.PNG,#dfa499,72.5,20.39,14.03
3CE,무드레시피 페이스 블러쉬,cheek,렛 미 스테이,"19,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/1572721119803131722.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/1572721119803131722.jpg,#f1b2a3,77.87,20.88,16.75
Naming,플러피 파우더 블러쉬,cheek,니제,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/5/8972844531588771921.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/5/8972844531588771921.jpg,#d87d97,62.93,38.28,1.45
